Dataplantio	Epoca	ano	mes	dia	Ndia	Quinzena	T.max	t.min	Prec.	Tmed	Tbase	ADD	ADDTot	Prec.Ac	Estacao
18/09/2020	1	2021	jan	11	116	Q8	31.5	23.5	0	26.42	13	13.42	1356.02	152.7	Verao
18/09/2020	1	2021	jan	12	117	Q8	27.3	22.7	2.6	24.36	13	11.36	1367.38	155.3	Verao
18/09/2020	1	2021	jan	13	118	Q8	30.7	21.8	6.6	25.5	13	12.5	1379.88	161.9	Verao
18/09/2020	1	2021	jan	14	119	Q8	32.5	21.8	0	25.78	13	12.78	1392.66	161.9	Verao
18/09/2020	1	2021	jan	15	120	Q8	28.2	23	0.5	23.88	13	10.88	1403.54	162.4	Verao
18/09/2020	1	2021	jan	16	121	Q9	30	21.4	5	24.24	13	11.24	1414.78	167.4	Verao
18/09/2020	1	2021	jan	17	122	Q9	31	21.5	1.5	24.94	13	11.94	1426.72	168.9	Verao
18/09/2020	1	2021	jan	18	123	Q9	31.2	21.8	7.4	25.12	13	12.12	1438.84	176.3	Verao
18/09/2020	1	2021	jan	19	124	Q9	31	20.6	0	25	13	12	1450.84	176.3	Verao
18/09/2020	1	2021	jan	20	125	Q9	28.2	21.3	1.4	23.66	13	10.66	1461.5	177.7	Verao
18/09/2020	1	2021	jan	21	126	Q9	30.4	21.5	0.7	24.94	13	11.94	1473.44	178.4	Verao
18/09/2020	1	2021	jan	22	127	Q9	29	21.6	0.2	24.44	13	11.44	1484.88	178.6	Verao
18/09/2020	1	2021	jan	23	128	Q9	30	21.2	0	24.24	13	11.24	1496.12	178.6	Verao
18/09/2020	1	2021	jan	24	129	Q9	30.1	21.8	0	24.32	13	11.32	1507.44	178.6	Verao
18/09/2020	1	2021	jan	25	130	Q9	31.1	22	1.4	24.9	13	11.9	1519.34	180	Verao
18/09/2020	1	2021	jan	26	131	Q9	29.2	21.8	4.2	24.44	13	11.44	1530.78	184.2	Verao
18/09/2020	1	2021	jan	27	132	Q9	30.8	21	0	24.8	13	11.8	1542.58	184.2	Verao
18/09/2020	1	2021	jan	28	133	Q9	31.2	21.6	0.4	24.68	13	11.68	1554.26	184.6	Verao
18/09/2020	1	2021	jan	29	134	Q9	32	22	0	25.64	13	12.64	1566.9	184.6	Verao
18/09/2020	1	2021	jan	30	135	Q9	32.6	21.9	0	25.84	13	12.84	1579.74	184.6	Verao
18/09/2020	1	2021	jan	31	136	Q9	31.8	22.6	0	25.76	13	12.76	1592.5	184.6	Verao
18/09/2020	1	2021	fev	1	137	Q10	30.3	22.3	0	25.44	13	12.44	1604.94	184.6	Verao
18/09/2020	1	2021	fev	2	138	Q10	30.4	22.4	0.6	25.4	13	12.4	1617.34	185.2	Verao
18/09/2020	1	2021	fev	3	139	Q10	33	23.4	1.2	26.42	13	13.42	1630.76	186.4	Verao
18/09/2020	1	2021	fev	4	140	Q10	31	22.2	0	25.44	13	12.44	1643.2	186.4	Verao
18/09/2020	1	2021	fev	5	141	Q10	34	23.2	0	27.12	13	14.12	1657.32	186.4	Verao
18/09/2020	1	2021	fev	6	142	Q10	33.8	23	0	26.96	13	13.96	1671.28	186.4	Verao
18/09/2020	1	2021	fev	7	143	Q10	32.5	23.8	0	26.86	13	13.86	1685.14	186.4	Verao
18/09/2020	1	2021	fev	8	144	Q10	33.2	24.3	0	26.82	13	13.82	1698.96	186.4	Verao
18/09/2020	1	2021	fev	9	145	Q10	22.1	22.2	0	23.82	13	10.82	1709.78	186.4	Verao
18/09/2020	1	2021	fev	10	146	Q10	33.1	21.1	0	25.96	13	12.96	1722.74	186.4	Verao
18/09/2020	1	2021	fev	11	147	Q10	32	22	0	25.4	13	12.4	1735.14	186.4	Verao
18/09/2020	1	2021	fev	12	148	Q10	32.1	20.6	0	25.62	13	12.62	1747.76	186.4	Verao
18/09/2020	1	2021	fev	13	149	Q10	31.7	21.2	0	25.14	13	12.14	1759.9	186.4	Verao
18/09/2020	1	2021	fev	14	150	Q10	33.1	21.2	0	25.88	13	12.88	1772.78	186.4	Verao
18/09/2020	1	2021	fev	15	151	Q10	33.7	21.2	0	25.48	13	12.48	1785.26	186.4	Verao
18/09/2020	1	2021	fev	16	152	Q11	33.8	21.3	0	26.28	13	13.28	1798.54	186.4	Verao
18/09/2020	1	2021	fev	17	153	Q11	34.8	24.8	0	26.7	13	13.7	1812.24	186.4	Verao
