SeqGeral	plot_name	Epoca	Acession_name	bloco	plant_number	Obs	Ramificacao	DataR0	Dia	Mes	Mesfev	Ano	NumRam	CompR	Altura total	QuantR	EscalaLEO	NumFrutosR0	NumSemR0	DAPR	DAPR1ano	DAPR1ano_Ext	NumEvRam	NumTFruto	NumTSem
109	BRS-GemadeOvo.1.1.4	1	BRS-GemadeOvo	1	4	Ok	Ram0	05/05/21	5	5	mai	2021	3	157	NA	NA	0	0	NA	229	229	229	4	1	0
110	BRS-GemadeOvo.1.1.5	1	BRS-GemadeOvo	1	5	Ok	Ram0	06/09/21	9	6	jun	2021	2	NA	NA	NA	1	NA	NA	264	264	264	4	0	0
111	Correntao.1.1.1	1	Correntao	1	1	Ok	Ram0	4/30/2021	30	4	abr	2021	1	140	NA	NA	0	0	NA	224	224	224	3	0	0
112	Correntao.1.1.2	1	Correntao	1	2	Ok	Ram0	5/27/2021	27	5	mai	2021	2	200	NA	NA	0	0	NA	251	251	251	4	0	0
113	Correntao.1.1.3	1	Correntao	1	3	Ok	Ram0	04/06/21	6	4	abr	2021	3	130	NA	NA	0	0	NA	200	200	200	4	0	0
114	Correntao.1.1.4	1	Correntao	1	4	Ok	Ram0	8/17/2021	17	8	ago	2021	0	190	190	NA	0	0	NA	333	333	333	2	0	0
115	Correntao.1.1.5	1	Correntao	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	0	NA	NA	NA	0	0	NA	285	285	285	1	0	0
116	BRS-Verdinha.1.1.1	1	BRS-Verdinha	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
117	BRS-Verdinha.1.1.2	1	BRS-Verdinha	1	2	Ok	Ram0	08/05/21	5	8	ago	2021	0	190	190	NA	0	0	NA	321	321	321	1	0	0
118	BRS-Verdinha.1.1.3	1	BRS-Verdinha	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
119	BRS-Verdinha.1.1.4	1	BRS-Verdinha	1	4	Ok	Ram0	08/05/21	5	8	ago	2021	1	NA	NA	NA	1	NA	NA	321	321	321	3	0	0
120	BRS-Verdinha.1.1.5	1	BRS-Verdinha	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
121	BRS-NovoHorizonte.1.1.1	1	BRS-NovoHorizonte	1	1	Ok	Ram0	09/09/21	9	9	set	2021	0	NA	NA	NA	1	NA	NA	356	356	356	2	0	0
122	BRS-NovoHorizonte.1.1.2	1	BRS-NovoHorizonte	1	2	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	1	NA	NA	376	376	376	1	0	0
123	BRS-NovoHorizonte.1.1.3	1	BRS-NovoHorizonte	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
124	BRS-NovoHorizonte.1.1.4	1	BRS-NovoHorizonte	1	4	Ok	Ram0	7/20/2021	20	7	jul	2021	1	190	210	NA	0	0	NA	305	305	305	3	0	0
125	BRS-NovoHorizonte.1.1.5	1	BRS-NovoHorizonte	1	5	Ok	Ram0	06/09/21	9	6	jun	2021	1	131	NA	NA	0	0	NA	264	264	264	2	0	0
126	Corrente.1.1.1	1	Corrente	1	1	Ok	Ram0	5/27/2021	27	5	mai	2021	2	195	NA	NA	0	0	NA	251	251	251	4	0	0
127	Corrente.1.1.2	1	Corrente	1	2	Ok	Ram0	05/05/21	5	5	mai	2021	2	150	NA	NA	0	0	NA	229	229	229	3	0	0
128	Corrente.1.1.3	1	Corrente	1	3	Ok	Ram0	6/30/2021	30	6	jun	2021	1	220	NA	NA	1	NA	NA	285	285	285	3	0	0
129	Corrente.1.1.4	1	Corrente	1	4	Ok	Ram0	4/16/2021	16	4	abr	2021	3	140	NA	NA	0	0	NA	210	210	210	5	2	0
130	Corrente.1.1.5	1	Corrente	1	5	Ok	Ram0	5/27/2021	27	5	mai	2021	2	175	NA	NA	0	0	NA	251	251	251	4	0	0
131	VassouraPreta.1.1.1	1	VassouraPreta	1	1	Ok	Ram0	5/27/2021	27	5	mai	2021	2	160	NA	NA	0	0	NA	251	251	251	4	0	0
132	VassouraPreta.1.1.2	1	VassouraPreta	1	2	Ok	Ram0	4/30/2021	30	4	abr	2021	3	150	NA	NA	0	0	NA	224	224	224	5	0	0
133	VassouraPreta.1.1.3	1	VassouraPreta	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
134	VassouraPreta.1.1.4	1	VassouraPreta	1	4	Ok	Ram0	08/05/21	5	8	ago	2021	0	NA	NA	NA	1	NA	NA	321	321	321	2	0	0
135	VassouraPreta.1.1.5	1	VassouraPreta	1	5	Ok	Ram0	7/20/2021	20	7	jul	2021	1	180	205	NA	0	0	NA	305	305	305	2	0	0
136	NegaMaluca.1.1.1	1	NegaMaluca	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
137	NegaMaluca.1.1.2	1	NegaMaluca	1	2	Ok	Ram0	6/30/2021	30	6	jun	2021	1	NA	NA	NA	1	NA	NA	285	285	285	2	0	0
138	NegaMaluca.1.1.3	1	NegaMaluca	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
139	NegaMaluca.1.1.4	1	NegaMaluca	1	4	Ok	Ram0	4/16/2021	16	4	abr	2021	0	120	120	NA	0	0	NA	210	210	210	1	0	0
140	NegaMaluca.1.1.5	1	NegaMaluca	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	1	120	NA	NA	0	0	NA	285	285	285	2	0	0
141	BRS-Tapioqueira.1.1.1	1	BRS-Tapioqueira	1	1	Ok	Ram0	3/18/2021	18	3	mar	2021	4	135	NA	NA	0	0	NA	181	181	181	6	0	0
142	BRS-Tapioqueira.1.1.2	1	BRS-Tapioqueira	1	2	Ok	Ram0	4/30/2021	30	4	abr	2021	1	150	NA	NA	0	0	NA	224	224	224	2	0	0
143	BRS-Tapioqueira.1.1.3	1	BRS-Tapioqueira	1	3	Ok	Ram0	3/18/2021	18	3	mar	2021	4	120	NA	NA	0	0	NA	181	181	181	5	0	0
144	BRS-Tapioqueira.1.1.4	1	BRS-Tapioqueira	1	4	Ok	Ram0	3/19/2021	19	3	mar	2021	5	105	NA	NA	0	0	NA	182	182	182	6	1	0
145	BRS-Tapioqueira.1.1.5	1	BRS-Tapioqueira	1	5	Ok	Ram0	11/27/2020	27	11	nov	2020	1	55	140	NA	0	0	NA	70	70	70	2	0	0
146	BGM-1722.1.1.1	1	BGM-1722	1	1	Ok	Ram0	06/09/21	9	6	jun	2021	2	NA	NA	NA	1	NA	NA	264	264	264	4	0	0
147	BGM-1722.1.1.2	1	BGM-1722	1	2	Ok	Ram0	06/09/21	9	6	jun	2021	2	195	NA	NA	1	NA	NA	264	264	264	4	4	8
148	BGM-1722.1.1.3	1	BGM-1722	1	3	Ok	Ram0	4/16/2021	16	4	abr	2021	2	140	NA	NA	0	0	NA	210	210	210	4	3	3
149	BGM-1722.1.1.4	1	BGM-1722	1	4	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
150	BGM-1722.1.1.5	1	BGM-1722	1	5	Ok	Ram0	10/18/2021	18	10	out	2021	NA	NA	NA	NA	1	NA	NA	395	NA	395	0	0	0
151	Cigana.1.1.1	1	Cigana	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
152	Cigana.1.1.2	1	Cigana	1	2	Ok	Ram0	03/05/21	5	3	mar	2021	3	90	NA	NA	0	0	NA	168	168	168	4	0	0
153	Cigana.1.1.3	1	Cigana	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
154	Cigana.1.1.4	1	Cigana	1	4	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	3	NA	NA	376	376	376	1	0	0
155	Cigana.1.1.5	1	Cigana	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	2	205	NA	NA	0	0	NA	285	285	285	3	1	0
